client_id;anciennete_mois;nb_commandes_12m;panier_moyen_eur;jours_depuis_derniere_cmd;programme_fidelite;score_churn_pct;segment_churn;action_crm_recommandee;churn
1;52;5;23.28;228;1;12.4;Stable 🟢;Newsletter standard;0
2;15;4;68.74;64;0;1.3;Stable 🟢;Newsletter standard;0
3;72;4;265.59;19;0;1.3;Stable 🟢;Newsletter standard;0
4;61;2;17.86;332;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
5;21;3;8.01;318;1;0.9;Stable 🟢;Newsletter standard;0
6;83;3;10.17;141;0;1.5;Stable 🟢;Newsletter standard;0
7;75;3;122.27;25;1;0.1;Stable 🟢;Newsletter standard;0
8;75;6;34.48;228;1;1.0;Stable 🟢;Newsletter standard;0
9;24;5;20.33;89;0;1.4;Stable 🟢;Newsletter standard;0
10;3;3;34.81;92;0;1.3;Stable 🟢;Newsletter standard;0
11;22;4;82.93;42;1;0.1;Stable 🟢;Newsletter standard;0
12;53;2;63.31;295;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
13;2;5;108.88;81;1;0.1;Stable 🟢;Newsletter standard;0
14;30;4;33.13;107;1;0.1;Stable 🟢;Newsletter standard;0
15;38;3;48.12;111;1;0.1;Stable 🟢;Newsletter standard;0
16;2;4;8.6;277;1;1.0;Stable 🟢;Newsletter standard;0
17;64;2;6.07;214;1;1.0;Stable 🟢;Newsletter standard;0
18;60;3;49.63;231;1;1.0;Stable 🟢;Newsletter standard;0
19;21;5;28.72;306;1;1.0;Stable 🟢;Newsletter standard;0
20;33;1;75.91;121;1;4.8;Stable 🟢;Newsletter standard;0
21;76;3;3.52;134;0;1.7;Stable 🟢;Newsletter standard;0
22;58;6;10.39;306;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
23;22;6;160.31;208;1;1.0;Stable 🟢;Newsletter standard;0
24;49;5;66.83;257;1;1.0;Stable 🟢;Newsletter standard;0
25;59;2;99.6;185;1;0.9;Stable 🟢;Newsletter standard;0
26;42;4;147.6;286;1;1.0;Stable 🟢;Newsletter standard;0
27;60;4;49.86;363;1;1.1;Stable 🟢;Newsletter standard;0
28;80;6;114.52;180;1;0.1;Stable 🟢;Newsletter standard;0
29;15;3;59.49;48;1;0.1;Stable 🟢;Newsletter standard;0
30;62;5;20.16;87;1;0.1;Stable 🟢;Newsletter standard;0
31;62;1;32.96;19;1;1.7;Stable 🟢;Newsletter standard;0
32;47;0;53.92;46;0;99.2;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
33;62;4;30.49;56;1;3.9;Stable 🟢;Newsletter standard;0
34;51;4;32.7;229;0;99.6;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
35;55;2;32.93;145;1;0.1;Stable 🟢;Newsletter standard;0
36;64;4;10.49;92;1;0.1;Stable 🟢;Newsletter standard;0
37;3;3;7.08;82;1;0.1;Stable 🟢;Newsletter standard;0
38;51;6;3.81;225;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
39;7;3;9.41;79;0;1.8;Stable 🟢;Newsletter standard;0
40;21;3;33.69;150;0;1.4;Stable 🟢;Newsletter standard;0
41;73;5;72.09;361;1;82.6;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
42;39;4;16.67;283;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
43;18;1;175.15;311;1;96.7;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
44;4;4;132.18;160;1;0.1;Stable 🟢;Newsletter standard;0
45;60;3;58.81;316;0;99.5;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
46;14;6;103.05;156;1;3.6;Stable 🟢;Newsletter standard;0
47;9;4;36.5;156;1;0.1;Stable 🟢;Newsletter standard;0
48;53;6;3.0;202;1;1.0;Stable 🟢;Newsletter standard;0
49;2;4;187.75;341;1;1.1;Stable 🟢;Newsletter standard;0
50;60;3;10.94;342;1;1.1;Stable 🟢;Newsletter standard;0
51;71;4;236.42;117;1;0.1;Stable 🟢;Newsletter standard;0
52;44;8;67.87;154;1;0.1;Stable 🟢;Newsletter standard;0
53;8;3;29.17;364;0;98.1;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
54;47;4;54.74;331;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
55;35;2;55.71;119;0;18.9;Stable 🟢;Newsletter standard;0
56;78;2;1.89;199;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
57;81;4;35.14;263;1;0.9;Stable 🟢;Newsletter standard;0
58;36;4;107.72;184;1;0.9;Stable 🟢;Newsletter standard;0
59;50;2;57.08;148;1;3.2;Stable 🟢;Newsletter standard;0
60;4;2;22.4;166;0;1.7;Stable 🟢;Newsletter standard;0
61;2;3;32.65;75;0;1.4;Stable 🟢;Newsletter standard;0
62;6;4;159.05;236;1;1.0;Stable 🟢;Newsletter standard;0
63;54;6;59.65;314;0;98.7;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
64;4;4;60.12;272;1;1.0;Stable 🟢;Newsletter standard;0
65;54;1;260.5;179;1;5.2;Stable 🟢;Newsletter standard;0
66;63;4;30.96;283;1;1.0;Stable 🟢;Newsletter standard;0
67;18;4;52.24;51;0;1.2;Stable 🟢;Newsletter standard;0
68;44;5;133.58;75;0;41.3;Risque moyen 🟠;Email personnalisé + points fidélité;1
69;34;1;113.81;144;0;88.4;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
70;74;5;24.72;343;1;1.1;Stable 🟢;Newsletter standard;0
71;62;6;13.1;188;1;75.9;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
72;14;9;96.51;123;0;1.4;Stable 🟢;Newsletter standard;0
73;48;0;23.84;332;0;99.9;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
74;15;7;204.78;251;1;1.0;Stable 🟢;Newsletter standard;0
75;72;4;11.07;296;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
76;78;1;30.66;323;1;97.0;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
77;62;1;4.51;130;0;94.1;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
78;40;2;97.2;252;1;1.0;Stable 🟢;Newsletter standard;0
79;80;4;177.51;358;1;1.0;Stable 🟢;Newsletter standard;0
80;82;2;80.82;180;1;0.1;Stable 🟢;Newsletter standard;0
81;53;3;222.13;349;0;99.7;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
82;24;4;11.0;110;0;1.7;Stable 🟢;Newsletter standard;0
83;26;5;7.35;338;1;1.1;Stable 🟢;Newsletter standard;0
84;60;3;145.82;78;1;3.2;Stable 🟢;Newsletter standard;0
85;41;5;154.76;2;1;0.1;Stable 🟢;Newsletter standard;0
86;29;7;142.25;321;1;53.0;Risque moyen 🟠;Email personnalisé + points fidélité;1
87;15;6;128.34;276;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
88;45;4;35.98;290;1;1.0;Stable 🟢;Newsletter standard;0
